hour,upload_mb,failed_logins,is_vpn,label
17,16.736613280046196,1,0,0
11,22.68888842902926,1,0,0
10,45.7848343960489,0,0,0
14,30.46804659938098,0,0,0
13,43.15691792766734,1,0,0
13,45.675618956984856,0,0,0
18,6.065433995545722,0,0,0
16,32.93918067242077,0,0,0
12,45.962841505902695,1,0,0
13,49.34843521752398,1,0,0
14,19.102672142340886,0,0,0
15,16.31226367417832,0,0,0
14,20.665568817327927,1,0,0
14,3.2303978719740396,1,0,0
10,49.215187996508284,0,0,0
17,31.00279780914633,1,0,0
14,46.98355739168845,1,0,0
18,22.72363970162485,1,0,0
9,19.04981080243126,1,0,0
12,36.83313987833238,0,0,0
15,1.6902816465367199,1,0,0
9,15.974348898328662,0,0,0
10,16.57039311911961,1,0,0
12,40.03296098990082,0,0,0
14,31.345110394190847,1,0,0
12,40.48670036410416,0,0,0
12,30.535891670779943,0,0,0
17,17.81094913771474,1,0,0
12,10.144013255987002,1,0,0
18,43.92348138109733,0,0,0
18,23.031127806995467,0,0,0
15,29.497528033390086,1,0,0
17,19.305298357548498,1,0,0
18,4.325473382250243,0,0,0
11,22.709824210221488,1,0,0
15,5.602613391031366,1,0,0
15,19.603858622259317,1,0,0
12,16.093158398815138,0,0,0
13,44.993490388710676,0,0,0
17,19.589688540699655,0,0,0
9,23.318802186086288,1,0,0
15,39.685495974186,1,0,0
10,24.438300738061194,0,0,0
18,34.47253195113662,1,0,0
17,20.62718519704986,1,0,0
13,16.887797722690614,0,0,0
17,40.9056908944524,0,0,0
15,21.012998041776722,0,0,0
11,5.167822484099116,0,0,0
12,18.190403934034705,0,0,0
9,25.298453134962447,1,0,0
14,13.004987990886853,0,0,0
17,25.476107255082454,1,0,0
12,44.8294561254802,1,0,0
18,2.7527256946377725,1,0,0
12,33.131053956212014,0,0,0
18,49.28987401475504,1,0,0
12,32.955331630861934,0,0,0
16,35.821499150465435,0,0,0
14,14.972449020700319,1,0,0
11,16.61155656208523,1,0,0
17,13.273865578776725,1,0,0
11,2.9165644003491864,0,0,0
11,43.38147703315828,1,0,0
12,42.36975127998467,1,0,0
10,20.913517784891503,0,0,0
9,28.276528147363685,1,0,0
16,8.081645014634312,1,0,0
13,28.043294287139457,1,0,0
18,16.89501595895448,0,0,0
17,13.984451752120584,0,0,0
11,42.798912742619315,0,0,0
11,18.08051991866375,1,0,0
13,10.733807436208838,0,0,0
9,22.869168106279258,0,0,0
15,8.027790436147482,1,0,0
15,22.477515741505268,0,0,0
17,14.586791640852137,1,0,0
11,27.537751579270722,1,0,0
15,20.0750811332393,0,0,0
18,22.28254994831648,1,0,0
12,7.7064511920739704,1,0,0
9,25.863299551267033,0,0,0
17,25.94118807316879,0,0,0
14,4.620628209168405,0,0,0
18,8.561070526888415,1,0,0
15,34.064908172022186,1,0,0
16,21.776090602753722,1,0,0
9,16.222554769956023,0,0,0
17,4.505961239105685,0,0,0
12,44.204306285767004,1,0,0
9,21.431060780575443,0,0,0
14,22.485210492175415,0,0,0
9,39.28731540377043,0,0,0
18,26.697572858024614,1,0,0
17,21.541807984627514,0,0,0
16,25.5780792839381,1,0,0
18,30.19333321393825,0,0,0
14,26.2628146697044,0,0,0
11,25.23006527617223,1,0,0
13,19.053015910545394,0,0,0
16,44.885620532992256,0,0,0
12,10.628145300878783,1,0,0
12,1.2889972772554943,1,0,0
13,41.208222735115875,0,0,0
18,38.01077159094014,1,0,0
15,41.358468586960804,0,0,0
16,40.49986283792809,0,0,0
17,28.135994040320202,0,0,0
13,42.54912052258118,1,0,0
17,42.41094078590611,0,0,0
10,43.8291951902478,1,0,0
9,2.298974102265639,0,0,0
12,16.18496204873009,1,0,0
18,22.664680037848466,0,0,0
17,47.58000866160894,0,0,0
13,27.47682067514854,1,0,0
10,24.184389626869777,1,0,0
11,47.578562470350924,1,0,0
13,24.046666417773782,0,0,0
11,2.4624593740868734,1,0,0
15,7.645732640331912,1,0,0
11,16.761083607742766,1,0,0
12,8.44119129945321,1,0,0
13,13.940579143814118,1,0,0
14,8.983012903498855,1,0,0
13,7.734915747848076,0,0,0
13,4.780647613337337,1,0,0
17,39.37373531806914,0,0,0
14,44.33688309463634,1,0,0
17,9.653249742506768,0,0,0
18,4.347897466473707,1,0,0
15,6.687881054645327,1,0,0
12,4.958565815167779,0,0,0
16,6.18545713928176,1,0,0
12,29.051852750281117,0,0,0
9,16.973729488529365,0,0,0
16,7.775694855782382,1,0,0
12,36.43937382047188,1,0,0
17,12.801143746947893,1,0,0
9,38.61856361991762,0,0,0
16,13.568372497956448,0,0,0
15,38.39674322480173,0,0,0
17,4.567340161598755,0,0,0
16,29.432809504076587,1,0,0
9,11.516797228846073,1,0,0
13,40.7059937812583,0,0,0
15,11.14482644102424,1,0,0
9,19.50397413106684,1,0,0
15,4.738025029073669,1,0,0
16,15.483163632278522,0,0,0
13,13.89016942867083,0,0,0
14,33.81447827906594,0,0,0
16,7.6468637313680246,1,0,0
17,26.54434807620683,0,0,0
9,13.288982860730053,0,0,0
15,19.503583878175185,0,0,0
18,6.811073553859476,1,0,0
17,4.71956565947219,0,0,0
18,7.259824208221686,1,0,0
13,38.05339737023463,1,0,0
16,29.25395025791383,1,0,0
13,8.015163983811224,1,0,0
18,13.067494644599908,1,0,0
16,49.94309172997566,1,0,0
13,30.48528749733567,1,0,0
17,36.44326512970452,0,0,0
13,30.145949292868373,1,0,0
11,33.79472713409938,0,0,0
10,11.364453869781462,1,0,0
17,18.1394961572625,1,0,0
14,7.292390305971406,0,0,0
13,25.385007946279103,1,0,0
14,20.485241823258896,0,0,0
9,31.681616591112356,1,0,0
12,1.032548708102258,1,0,0
17,47.44847897711915,0,0,0
15,21.745111615601402,0,0,0
18,4.723449881842985,1,0,0
14,3.5540633736521956,1,0,0
14,14.155397056414118,0,0,0
14,7.41964634878897,0,0,0
12,1.6688550287186739,1,0,0
12,44.28957544459112,0,0,0
15,13.585609204511869,1,0,0
9,14.822287704840702,1,0,0
9,18.71406872571683,0,0,0
15,38.967305132639886,1,0,0
14,28.785812570421992,1,0,0
13,35.58989187280727,0,0,0
12,30.457934297237877,0,0,0
9,9.49615124654513,0,0,0
12,36.70980775566989,1,0,0
16,47.23607337980717,1,0,0
12,33.15047983164894,1,0,0
15,31.427069000268144,0,0,0
11,29.305000634127257,0,0,0
16,15.093364892844109,1,0,0
13,46.495847073429104,1,0,0
10,4.343900245620286,1,0,0
10,4.939153493302152,1,0,0
10,14.642543351685255,0,0,0
16,16.42536192385246,0,0,0
18,48.2264942179453,0,0,0
18,27.706768108062672,1,0,0
15,15.852104891283329,1,0,0
15,9.697142615126962,0,0,0
15,23.08598152978374,1,0,0
16,40.73406575843161,1,0,0
15,23.639097577908437,1,0,0
16,12.465024812829625,1,0,0
9,25.209379557364375,0,0,0
17,2.0034248266378656,1,0,0
