hour,data_transfer_mb,remote_access,privilege_usage,label
12,99.35377507986414,0,1,0
12,83.25216926889438,0,0,0
9,22.20524745890213,0,2,0
9,77.86622825524708,0,1,0
16,81.87184197150066,0,2,0
9,68.74376357470206,0,2,0
11,91.98081932149682,0,1,0
11,93.29673757601354,0,1,0
13,17.971570094301967,0,0,0
9,17.88653657500622,0,0,0
16,37.953318773893436,0,2,0
14,89.26115786732002,0,2,0
16,46.4272059427082,0,2,0
17,85.58601620032587,0,0,0
14,64.22247174359927,0,0,0
17,52.23796154415504,0,1,0
9,14.527142663421518,0,1,0
11,40.37045055439641,0,0,0
17,69.22094979526616,0,2,0
14,40.13371656849948,0,1,0
16,33.19667348788653,0,0,0
13,21.734977928683357,0,2,0
11,43.94832736880166,0,2,0
17,60.06612058258546,0,0,0
15,74.42591561872634,0,0,0
16,88.45330668886314,0,2,0
15,80.05322195265224,0,0,0
17,26.855167573439214,0,0,0
16,50.341581584568196,0,2,0
12,80.44262975247467,0,1,0
14,18.631460451838027,0,2,0
17,45.22333853934836,0,1,0
17,77.99198611745254,0,2,0
16,45.582236518936476,0,0,0
15,95.41005234881807,0,0,0
17,81.57603577147722,0,1,0
11,72.65868836151589,0,0,0
16,72.80308363841317,0,0,0
15,19.439883638090606,0,2,0
15,49.97039817144377,0,0,0
15,71.80536065392877,0,2,0
10,10.923371313327207,0,1,0
10,68.3360024803507,0,0,0
13,92.57095789464992,0,0,0
11,54.88644308677685,0,1,0
9,80.50181588170221,0,2,0
13,26.145359141610253,0,0,0
9,96.13314807504929,0,2,0
15,29.683113513564958,0,0,0
17,58.54237647024328,0,0,0
15,99.24014272614184,0,0,0
14,94.02350944584369,0,1,0
16,97.63415103570678,0,2,0
14,97.53773308535895,0,1,0
16,50.07980573211172,0,0,0
14,64.13301592543054,0,1,0
15,40.21555565379715,0,1,0
10,97.48536955436312,0,2,0
15,24.22411113832973,0,1,0
14,25.87676078602521,0,0,0
13,44.03853401260778,0,2,0
17,42.27650515526162,0,0,0
12,60.15750211134833,0,0,0
12,56.49611069161729,0,0,0
10,90.1947521212618,0,2,0
12,27.72308554891627,0,1,0
10,26.39998016170336,0,2,0
14,14.332379600210608,0,2,0
16,52.5881242979526,0,2,0
11,93.10180474252445,0,2,0
11,14.352541575668155,0,0,0
15,54.57585893382394,0,2,0
16,29.490201867897273,0,0,0
16,68.91527818409443,0,2,0
13,16.323553591999556,0,0,0
15,73.04263684580559,0,2,0
10,18.18060176126121,0,2,0
10,43.530389215849574,0,2,0
13,62.62231745448202,0,0,0
13,55.44150267249595,0,2,0
12,11.591500851846968,0,0,0
11,69.43630245333932,0,0,0
16,84.9021923352448,0,1,0
11,67.97121224397819,0,1,0
17,58.53840064797858,0,1,0
14,19.158786911297817,0,0,0
16,85.10127480848698,0,1,0
17,90.79311482552826,0,2,0
16,23.345164276317256,0,2,0
14,48.72263465593121,0,1,0
10,51.13813452840545,0,0,0
13,55.005465283568775,0,0,0
13,68.97244720300492,0,1,0
11,64.26737516480486,0,0,0
14,32.95601177119129,0,0,0
9,54.12665629920439,0,1,0
10,17.67714837051507,0,1,0
16,96.9665359923115,0,1,0
11,60.461582430546784,0,2,0
10,74.08263589242738,0,1,0
15,80.65810305750601,0,0,0
17,54.970405208052526,0,2,0
16,88.0724915176993,0,2,0
13,43.71458102307292,0,0,0
12,70.90857752581178,0,1,0
17,52.835583849042166,0,0,0
10,17.38257857830888,0,1,0
10,72.40372299299096,0,2,0
17,68.81242254880021,0,1,0
12,58.008267151009335,0,0,0
16,75.35918672576004,0,2,0
10,49.32372995686898,0,0,0
9,90.00206500596069,0,2,0
12,38.8600695417811,0,1,0
12,23.92513403598167,0,2,0
13,37.29752112993036,0,2,0
17,44.39089890425234,0,1,0
12,70.02654271560925,0,2,0
17,15.99388558293139,0,1,0
14,76.93509427013156,0,2,0
11,70.99190831542097,0,0,0
11,46.80113036961106,0,0,0
15,95.30041741910071,0,2,0
12,83.23321025863025,0,2,0
15,52.172299235295014,0,2,0
12,57.878926925026754,0,1,0
9,29.62187332689993,0,2,0
9,12.627156778916202,0,0,0
12,15.08153042215794,0,2,0
10,17.358349473930566,0,2,0
13,63.13054441898,0,0,0
13,12.025624685259928,0,2,0
11,62.64442795129902,0,0,0
9,24.404905413176422,0,1,0
12,11.931380253995322,0,0,0
10,60.3467439458493,0,1,0
16,23.917270306063198,0,0,0
16,43.49841663662306,0,2,0
16,90.44523008187141,0,2,0
17,99.25372015688956,0,0,0
11,98.56313938827684,0,0,0
17,90.40377787503354,0,0,0
12,52.88916764275803,0,1,0
12,52.722505451630624,0,2,0
15,38.44375042311118,0,1,0
14,27.723967486939642,0,0,0
9,49.946782531617906,0,0,0
17,54.649621532626604,0,2,0
14,86.55273016363269,0,1,0
10,12.030992975164242,0,2,0
17,12.86006021545738,0,2,0
9,19.814081429894042,0,2,0
11,44.12099931229826,0,2,0
16,32.142419281086205,0,1,0
13,99.41863772890096,0,2,0
14,54.24314021279731,0,0,0
13,17.29982282525919,0,2,0
12,47.80273076975121,0,0,0
16,85.21965887203835,0,1,0
9,85.27130239334339,0,2,0
13,61.231996256708996,0,0,0
17,74.69760311653476,0,1,0
11,48.709513823057954,0,0,0
14,77.04502281381384,0,0,0
14,79.19936184088071,0,2,0
9,73.439954710293,0,0,0
13,17.07724497341127,0,1,0
12,43.619192205109506,0,2,0
17,81.71947728800271,0,0,0
10,52.90272371505509,0,0,0
17,77.7925489347387,0,2,0
10,83.37743161219119,0,2,0
14,68.5611229903115,0,2,0
10,23.7556727283392,0,2,0
11,20.62273537640695,0,2,0
14,80.96144794897937,0,2,0
11,18.976483497738876,0,2,0
11,79.68276336668367,0,0,0
13,45.59065069245173,0,1,0
13,97.40856837507869,0,0,0
11,60.26293614256048,0,2,0
12,18.17968282339564,0,1,0
9,66.54788832659361,0,1,0
17,20.360297495872032,0,2,0
13,53.874969903275485,0,2,0
13,94.74932029159936,0,2,0
9,91.99959115987504,0,1,0
10,15.586590152534056,0,1,0
9,26.990608308892213,0,1,0
14,16.134124458860185,0,2,0
13,79.60706169344918,0,2,0
9,36.351391881050844,0,1,0
12,50.63460803458676,0,2,0
17,94.45188206983106,0,1,0
17,47.766273767877045,0,0,0
14,66.73058927562504,0,1,0
16,20.000290699779285,0,1,0
14,24.639895606050082,0,0,0
15,68.77457596190702,0,2,0
9,73.992528674444,0,1,0
9,54.087475299474704,0,0,0
17,47.59606659317198,0,1,0
13,57.972228173517145,0,1,0
11,39.26926012160702,0,0,0
11,34.89168205230769,0,0,0
17,72.80229547318513,0,1,0
15,71.89849830155791,0,0,0
17,27.692833760057642,0,1,0
15,22.04140082687325,0,0,0
14,70.61547788143734,0,1,0
13,54.123264407015654,0,1,0
11,50.647369335650325,0,1,0
9,73.9231135268988,0,2,0
15,36.41451134880802,0,0,0
11,92.02336383472053,0,0,0
17,55.425233891162726,0,0,0
